x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-10.0000000E+00,-80.4020E-03,+25.1257E-03,+25.1257E-03,+3.4020100E+00
-9.9996000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9992000E+00,-80.4020E-03,+25.1257E-03,+25.1257E-03,+3.3618090E+00
-9.9988000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9984000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9980000E+00,-80.4020E-03,+25.1257E-03,+25.1257E-03,+3.4020100E+00
-9.9976000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9972000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9968000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9964000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9960000E+00,-80.4020E-03,+25.1257E-03,-55.2763E-03,+3.3618090E+00
-9.9956000E+00,-160.8040E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9952000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9948000E+00,-80.4020E-03,-15.0753E-03,-15.0753E-03,+3.3618090E+00
-9.9944000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9940000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3216080E+00
-9.9936000E+00,-80.4020E-03,-15.0753E-03,-15.0753E-03,+3.3618090E+00
-9.9932000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9928000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9924000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9920000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9916000E+00,-80.4020E-03,+25.1257E-03,-55.2763E-03,+3.3618090E+00
-9.9912000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9908000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9904000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9900000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9896000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9892000E+00,-0.0E+00,-15.0753E-03,-15.0753E-03,+3.3618090E+00
-9.9888000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9884000E+00,-80.4020E-03,-15.0753E-03,-55.2763E-03,+3.3618090E+00
-9.9880000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9876000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9872000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9868000E+00,-0.0E+00,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9864000E+00,-80.4020E-03,-15.0753E-03,-15.0753E-03,+3.3618090E+00
-9.9860000E+00,-80.4020E-03,-15.0753E-03,-15.0753E-03,+3.3618090E+00
-9.9856000E+00,-80.4020E-03,-15.0753E-03,-15.0753E-03,+3.3618090E+00
-9.9852000E+00,-80.4020E-03,-15.0753E-03,-15.0753E-03,+3.3618090E+00
-9.9848000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3216080E+00
-9.9844000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9840000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9836000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9832000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9828000E+00,-80.4020E-03,+25.1257E-03,+25.1257E-03,+3.3618090E+00
-9.9824000E+00,-0.0E+00,+25.1257E-03,-55.2763E-03,+3.3618090E+00
-9.9820000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9816000E+00,-80.4020E-03,-15.0753E-03,-15.0753E-03,+3.3618090E+00
-9.9812000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9808000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9804000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9800000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9796000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9792000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9788000E+00,-80.4020E-03,-15.0753E-03,-15.0753E-03,+3.3618090E+00
-9.9784000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9780000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9776000E+00,-80.4020E-03,-15.0753E-03,-55.2763E-03,+3.3618090E+00
-9.9772000E+00,-80.4020E-03,-15.0753E-03,-15.0753E-03,+3.3618090E+00
-9.9768000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9764000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3216080E+00
-9.9760000E+00,-80.4020E-03,-15.0753E-03,-15.0753E-03,+3.3216080E+00
-9.9756000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9752000E+00,-80.4020E-03,-15.0753E-03,-15.0753E-03,+3.3618090E+00
-9.9748000E+00,-80.4020E-03,-15.0753E-03,-15.0753E-03,+3.3618090E+00
-9.9744000E+00,-80.4020E-03,+25.1257E-03,+25.1257E-03,+3.3618090E+00
-9.9740000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9736000E+00,-80.4020E-03,-15.0753E-03,-55.2763E-03,+3.3618090E+00
-9.9732000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3216080E+00
-9.9728000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9724000E+00,-80.4020E-03,-15.0753E-03,-15.0753E-03,+3.3618090E+00
-9.9720000E+00,-0.0E+00,+25.1257E-03,-15.0753E-03,+3.3618090E+00
-9.9716000E+00,-80.4020E-03,+25.1257E-03,-15.0753E-03,+3.3618090E+00
