x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-994.61000E-03,+2.80182171E+00,-126.41954E-03,-233.16579E-03,+3.23717304E+00
-994.57000E-03,+2.80182171E+00,-791.40E-06,-107.53764E-03,+3.23717304E+00
-994.53000E-03,+2.80182171E+00,+74.58548E-03,-32.16076E-03,+3.23717304E+00
-994.49000E-03,+2.80182171E+00,-51.04266E-03,-32.16076E-03,+3.23717304E+00
-994.45000E-03,+2.80182171E+00,-791.40E-06,-157.78890E-03,+3.23717304E+00
-994.41000E-03,+2.80182171E+00,+74.58548E-03,-233.16579E-03,+3.23717304E+00
-994.37000E-03,+2.92744985E+00,+2.08463575E+00,-233.16579E-03,+3.23717304E+00
-994.33000E-03,+2.87719859E+00,+3.41629405E+00,-233.16579E-03,+3.23717304E+00
-994.29000E-03,+2.80182171E+00,+3.36604279E+00,-233.16579E-03,+3.23717304E+00
-994.25000E-03,+2.80182171E+00,+3.29066591E+00,-233.16579E-03,+3.23717304E+00
-994.21000E-03,+2.80182171E+00,+3.41629405E+00,-233.16579E-03,+3.23717304E+00
-994.17000E-03,+2.80182171E+00,+3.36604279E+00,-233.16579E-03,+3.23717304E+00
-994.13000E-03,+2.92744985E+00,+3.29066591E+00,-233.16579E-03,+3.23717304E+00
-994.09000E-03,+2.87719859E+00,+3.29066591E+00,-233.16579E-03,+1.10149463E+00
-994.05000E-03,+2.80182171E+00,+3.29066591E+00,-233.16579E-03,-179.91242E-03
-994.01000E-03,+2.80182171E+00,+3.29066591E+00,-233.16579E-03,-179.91242E-03
-993.97000E-03,+2.80182171E+00,+3.29066591E+00,-233.16579E-03,-179.91242E-03
-993.93000E-03,+2.92744985E+00,+3.29066591E+00,-233.16579E-03,-179.91242E-03
-993.89000E-03,+3.00282674E+00,+3.29066591E+00,-233.16579E-03,-179.91242E-03
-993.85000E-03,+2.87719859E+00,+3.29066591E+00,+1.90251262E+00,-179.91242E-03
-993.81000E-03,+2.92744985E+00,+3.29066591E+00,+3.18391967E+00,-179.91242E-03
-993.77000E-03,+2.87719859E+00,+3.29066591E+00,+3.18391967E+00,-179.91242E-03
-993.73000E-03,+2.80182171E+00,+3.16503777E+00,+3.18391967E+00,-179.91242E-03
-993.69000E-03,+2.80182171E+00,+3.21528902E+00,+3.18391967E+00,-179.91242E-03
-993.65000E-03,+2.80182171E+00,+3.29066591E+00,+3.18391967E+00,-179.91242E-03
-993.61000E-03,+2.80182171E+00,+3.29066591E+00,+3.18391967E+00,-179.91242E-03
-993.57000E-03,+2.80182171E+00,+1.15498750E+00,+3.18391967E+00,-179.91242E-03
-993.53000E-03,+2.80182171E+00,-126.41954E-03,+3.18391967E+00,-179.91242E-03
-993.49000E-03,+2.80182171E+00,-126.41954E-03,+3.18391967E+00,-305.54056E-03
-993.45000E-03,+2.80182171E+00,-126.41954E-03,+3.18391967E+00,-255.28930E-03
-993.41000E-03,+2.80182171E+00,-126.41954E-03,+3.05829153E+00,-305.54056E-03
