x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-998.25000E-03,,,,
-998.21000E-03,,,,
-998.17000E-03,,,,
-998.13000E-03,,,,
-998.09000E-03,,,,
-998.05000E-03,,,,
-998.01000E-03,,,,
-997.97000E-03,,,,
-997.93000E-03,,,,
-997.89000E-03,,,,
-997.85000E-03,,,,
-997.81000E-03,,,,
-997.77000E-03,,,,
-997.73000E-03,,,,
-997.69000E-03,,,,
-997.65000E-03,,,,
-997.61000E-03,,,,
-997.57000E-03,,,,
-997.53000E-03,,,,
-997.49000E-03,,,,
-997.45000E-03,,,,
-997.41000E-03,,,,
-997.37000E-03,,,,
-997.33000E-03,,,,
-997.29000E-03,,,,
-997.25000E-03,,,,
-997.21000E-03,,,,
-997.17000E-03,,,,
-997.13000E-03,,,,
-997.09000E-03,,,,
-997.05000E-03,,,,
-997.01000E-03,,,,
-996.97000E-03,,,,
-996.93000E-03,,,,
-996.89000E-03,-288.63058E-03,-126.41954E-03,-233.16579E-03,+3.84018812E+00
-996.85000E-03,-87.62555E-03,-126.41954E-03,-233.16579E-03,+3.84018812E+00
-996.81000E-03,-12.24867E-03,-791.40E-06,-233.16579E-03,+3.84018812E+00
-996.77000E-03,-137.87681E-03,-51.04266E-03,-233.16579E-03,+3.84018812E+00
-996.73000E-03,-87.62555E-03,-791.40E-06,-107.53764E-03,+3.84018812E+00
-996.69000E-03,-137.87681E-03,-51.04266E-03,-157.78890E-03,+3.84018812E+00
-996.65000E-03,-87.62555E-03,-126.41954E-03,-233.16579E-03,+3.84018812E+00
-996.61000E-03,-12.24867E-03,-791.40E-06,-107.53764E-03,+3.96581626E+00
-996.57000E-03,-12.24867E-03,+74.58548E-03,-32.16076E-03,+3.91556500E+00
-996.53000E-03,-12.24867E-03,-51.04266E-03,-157.78890E-03,+3.84018812E+00
-996.49000E-03,-12.24867E-03,-791.40E-06,-233.16579E-03,+3.84018812E+00
-996.45000E-03,-12.24867E-03,-51.04266E-03,-233.16579E-03,+3.84018812E+00
-996.41000E-03,-12.24867E-03,-126.41954E-03,-233.16579E-03,+3.84018812E+00
-996.37000E-03,-12.24867E-03,-791.40E-06,-107.53764E-03,+3.84018812E+00
-996.33000E-03,-12.24867E-03,-51.04266E-03,-32.16076E-03,+3.84018812E+00
-996.29000E-03,-12.24867E-03,-791.40E-06,-32.16076E-03,+3.84018812E+00
-996.25000E-03,-12.24867E-03,-51.04266E-03,-157.78890E-03,+3.84018812E+00
-996.21000E-03,-12.24867E-03,-126.41954E-03,-233.16579E-03,+3.84018812E+00
-996.17000E-03,-12.24867E-03,-791.40E-06,-107.53764E-03,+3.84018812E+00
-996.13000E-03,-12.24867E-03,-51.04266E-03,-157.78890E-03,+3.84018812E+00
-996.09000E-03,-12.24867E-03,-126.41954E-03,-233.16579E-03,+3.84018812E+00
-996.05000E-03,-12.24867E-03,-791.40E-06,-233.16579E-03,+3.71455997E+00
