x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-994.61000E-03,+1.04302772E+00,-51.04266E-03,+3.18391967E+00,+3.23717304E+00
-994.57000E-03,-12.24867E-03,-126.41954E-03,+3.18391967E+00,+3.23717304E+00
-994.53000E-03,+1.74654532E+00,-791.40E-06,+3.18391967E+00,+3.11154489E+00
-994.49000E-03,+917.39958E-03,+74.58548E-03,+3.18391967E+00,+3.16179615E+00
-994.45000E-03,+1.67116843E+00,-51.04266E-03,+3.18391967E+00,+3.11154489E+00
-994.41000E-03,+2.80182171E+00,-126.41954E-03,+1.04824126E+00,+3.03616801E+00
-994.37000E-03,+1.04302772E+00,-252.04769E-03,-358.79393E-03,+3.03616801E+00
-994.33000E-03,+1.74654532E+00,-76.16829E-03,-308.54267E-03,+3.16179615E+00
-994.29000E-03,+1.04302772E+00,-51.04266E-03,-233.16579E-03,+3.23717304E+00
-994.25000E-03,+1.74654532E+00,-126.41954E-03,-233.16579E-03,+3.23717304E+00
-994.21000E-03,+2.80182171E+00,-126.41954E-03,-107.53764E-03,+3.23717304E+00
-994.17000E-03,+1.04302772E+00,+124.83674E-03,-32.16076E-03,+3.36280118E+00
-994.13000E-03,-12.24867E-03,+24.33423E-03,-283.41704E-03,+3.18692178E+00
-994.09000E-03,+1.74654532E+00,-126.41954E-03,-182.91453E-03,+3.16179615E+00
-994.05000E-03,+1.04302772E+00,-126.41954E-03,-157.78890E-03,+3.11154489E+00
-994.01000E-03,-137.87681E-03,-791.40E-06,-107.53764E-03,+3.16179615E+00
-993.97000E-03,+1.67116843E+00,+74.58548E-03,-32.16076E-03,+3.11154489E+00
-993.93000E-03,+917.39958E-03,-51.04266E-03,-157.78890E-03,+3.16179615E+00
-993.89000E-03,+1.67116843E+00,-791.40E-06,-107.53764E-03,+3.23717304E+00
-993.85000E-03,+917.39958E-03,+2.08463575E+00,-32.16076E-03,+3.23717304E+00
-993.81000E-03,-87.62555E-03,+3.29066591E+00,-32.16076E-03,+3.11154489E+00
-993.77000E-03,-12.24867E-03,+3.29066591E+00,-157.78890E-03,+3.03616801E+00
-993.73000E-03,-12.24867E-03,+3.29066591E+00,-107.53764E-03,+3.03616801E+00
-993.69000E-03,+1.87217346E+00,+3.29066591E+00,-157.78890E-03,+3.16179615E+00
-993.65000E-03,+2.87719859E+00,+3.41629405E+00,+18.09050E-03,+3.23717304E+00
-993.61000E-03,+1.04302772E+00,+3.36604279E+00,+43.21613E-03,+3.23717304E+00
-993.57000E-03,-12.24867E-03,+3.29066591E+00,-157.78890E-03,+3.11154489E+00
-993.53000E-03,-12.24867E-03,+3.41629405E+00,-107.53764E-03,+3.03616801E+00
-993.49000E-03,-12.24867E-03,+3.36604279E+00,-157.78890E-03,+3.16179615E+00
-993.45000E-03,+1.74654532E+00,+3.29066591E+00,-107.53764E-03,+3.11154489E+00
-993.41000E-03,+2.80182171E+00,+3.29066591E+00,-157.78890E-03,+3.03616801E+00
-993.37000E-03,+1.04302772E+00,+3.29066591E+00,-107.53764E-03,+3.16179615E+00
-993.33000E-03,+1.74654532E+00,+3.29066591E+00,-157.78890E-03,+1.10149463E+00
-993.29000E-03,+1.04302772E+00,+3.29066591E+00,-107.53764E-03,-179.91242E-03
-993.25000E-03,-12.24867E-03,+3.29066591E+00,-32.16076E-03,-179.91242E-03
-993.21000E-03,+1.74654532E+00,+3.29066591E+00,-157.78890E-03,-179.91242E-03
-993.17000E-03,+917.39958E-03,+3.29066591E+00,-107.53764E-03,-179.91242E-03
-993.13000E-03,-213.25369E-03,+3.29066591E+00,-157.78890E-03,-179.91242E-03
-993.09000E-03,+1.67116843E+00,+3.41629405E+00,-107.53764E-03,-179.91242E-03
-993.05000E-03,+1.04302772E+00,+3.36604279E+00,-157.78890E-03,-179.91242E-03
-993.01000E-03,-12.24867E-03,+3.29066591E+00,-233.16579E-03,-179.91242E-03
-992.97000E-03,+1.74654532E+00,+3.29066591E+00,-107.53764E-03,-179.91242E-03
-992.93000E-03,+917.39958E-03,+3.29066591E+00,-283.41704E-03,-305.54056E-03
-992.89000E-03,-87.62555E-03,+3.41629405E+00,-182.91453E-03,-255.28930E-03
-992.85000E-03,-137.87681E-03,+3.36604279E+00,+1.97788951E+00,-179.91242E-03
-992.81000E-03,-87.62555E-03,+3.29066591E+00,+3.18391967E+00,-179.91242E-03
-992.77000E-03,-137.87681E-03,+3.29066591E+00,+3.18391967E+00,-179.91242E-03
-992.73000E-03,-87.62555E-03,+3.29066591E+00,+3.18391967E+00,-179.91242E-03
-992.69000E-03,-12.24867E-03,+3.29066591E+00,+3.18391967E+00,-179.91242E-03
-992.65000E-03,-137.87681E-03,+3.29066591E+00,+3.18391967E+00,-179.91242E-03
-992.61000E-03,-87.62555E-03,+3.29066591E+00,+3.18391967E+00,-179.91242E-03
-992.57000E-03,-137.87681E-03,+3.41629405E+00,+3.18391967E+00,-179.91242E-03
-992.53000E-03,+1.67116843E+00,+3.36604279E+00,+3.18391967E+00,-179.91242E-03
-992.49000E-03,+2.92744985E+00,+3.41629405E+00,+3.30954781E+00,-179.91242E-03
-992.45000E-03,+1.11840461E+00,+3.36604279E+00,+3.25929655E+00,-179.91242E-03
-992.41000E-03,+1.87217346E+00,+3.29066591E+00,+3.30954781E+00,-179.91242E-03
-992.37000E-03,+1.11840461E+00,+3.29066591E+00,+3.25929655E+00,-305.54056E-03
-992.33000E-03,-12.24867E-03,+3.29066591E+00,+3.18391967E+00,-255.28930E-03
-992.29000E-03,+1.87217346E+00,+3.29066591E+00,+3.18391967E+00,-179.91242E-03
-992.25000E-03,+1.11840461E+00,+1.02935936E+00,+3.18391967E+00,-179.91242E-03
-992.21000E-03,+1.74654532E+00,-201.79643E-03,+3.18391967E+00,-179.91242E-03
-992.17000E-03,+1.04302772E+00,-791.40E-06,+3.30954781E+00,-179.91242E-03
-992.13000E-03,+1.74654532E+00,+74.58548E-03,+3.25929655E+00,-179.91242E-03
-992.09000E-03,+2.80182171E+00,-51.04266E-03,+3.18391967E+00,-179.91242E-03
-992.05000E-03,+1.04302772E+00,-791.40E-06,+3.18391967E+00,-179.91242E-03
-992.01000E-03,+1.74654532E+00,+74.58548E-03,+3.18391967E+00,-179.91242E-03
-991.97000E-03,+1.04302772E+00,-51.04266E-03,+3.18391967E+00,-179.91242E-03
-991.93000E-03,-137.87681E-03,-126.41954E-03,+3.18391967E+00,-179.91242E-03
-991.89000E-03,+1.67116843E+00,-126.41954E-03,+3.18391967E+00,-179.91242E-03
-991.85000E-03,+1.04302772E+00,-126.41954E-03,+3.18391967E+00,-179.91242E-03
-991.81000E-03,+1.74654532E+00,-791.40E-06,+3.18391967E+00,-179.91242E-03
-991.77000E-03,+1.04302772E+00,-51.04266E-03,+3.18391967E+00,+1.95576599E+00
-991.73000E-03,+1.74654532E+00,-126.41954E-03,+3.18391967E+00,+3.23717304E+00
-991.69000E-03,+1.04302772E+00,-126.41954E-03,+3.30954781E+00,+3.23717304E+00
-991.65000E-03,+1.74654532E+00,-791.40E-06,+3.25929655E+00,+3.23717304E+00
-991.61000E-03,+917.39958E-03,-51.04266E-03,+3.18391967E+00,+3.23717304E+00
-991.57000E-03,+1.67116843E+00,-126.41954E-03,+3.18391967E+00,+3.23717304E+00
-991.53000E-03,+2.80182171E+00,-126.41954E-03,+3.18391967E+00,+3.23717304E+00
-991.49000E-03,+917.39958E-03,-126.41954E-03,+3.18391967E+00,+3.23717304E+00
-991.45000E-03,-87.62555E-03,-126.41954E-03,+3.18391967E+00,+3.23717304E+00
-991.41000E-03,-12.24867E-03,-791.40E-06,+3.18391967E+00,+3.23717304E+00
-991.37000E-03,-12.24867E-03,-176.67080E-03,+3.18391967E+00,+3.23717304E+00
-991.33000E-03,+1.74654532E+00,-201.79643E-03,+3.18391967E+00,+3.23717304E+00
-991.29000E-03,+2.80182171E+00,-126.41954E-03,+3.18391967E+00,+3.23717304E+00
-991.25000E-03,+2.80182171E+00,-126.41954E-03,+3.18391967E+00,+3.23717304E+00
-991.21000E-03,+2.92744985E+00,-791.40E-06,+1.17386940E+00,+3.23717304E+00
-991.17000E-03,+2.87719859E+00,-51.04266E-03,-157.78890E-03,+3.23717304E+00
-991.13000E-03,+917.39958E-03,-126.41954E-03,-233.16579E-03,+3.23717304E+00
-991.09000E-03,+1.79679658E+00,-126.41954E-03,-233.16579E-03,+3.23717304E+00
-991.05000E-03,+1.11840461E+00,-126.41954E-03,-233.16579E-03,+3.36280118E+00
-991.01000E-03,-12.24867E-03,-126.41954E-03,-233.16579E-03,+3.43817806E+00
-990.97000E-03,+1.87217346E+00,-126.41954E-03,-233.16579E-03,+3.43817806E+00
-990.93000E-03,+1.11840461E+00,-791.40E-06,-233.16579E-03,+3.31254992E+00
-990.89000E-03,+1.74654532E+00,-51.04266E-03,-107.53764E-03,+3.23717304E+00
-990.85000E-03,+1.04302772E+00,-791.40E-06,-157.78890E-03,+3.23717304E+00
-990.81000E-03,-12.24867E-03,-51.04266E-03,-233.16579E-03,+3.23717304E+00
-990.77000E-03,+1.87217346E+00,-126.41954E-03,-107.53764E-03,+3.23717304E+00
-990.73000E-03,+2.87719859E+00,-126.41954E-03,-157.78890E-03,+3.11154489E+00
-990.69000E-03,+2.92744985E+00,-126.41954E-03,-233.16579E-03,+3.16179615E+00
-990.65000E-03,+3.00282674E+00,-126.41954E-03,-233.16579E-03,+3.23717304E+00
-990.61000E-03,+1.11840461E+00,+2.13488701E+00,-107.53764E-03,+3.23717304E+00
-990.57000E-03,-137.87681E-03,+3.49167094E+00,-283.41704E-03,+3.36280118E+00
